episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,1,32,1920000.0,48,9,80,12,2,11,offset,1.0,11.0,2.0,0.0,False,60.0,48.0,12.0
1,1,1,32,1920000.0,48,29,100,32,2,31,offset,1.0,31.0,2.0,0.0,False,80.0,48.0,32.0
1,2,0,32,1920000.0,48,41,112,44,2,43,offset,1.0,43.0,2.0,0.0,False,92.0,48.0,44.0
1,3,0,32,1920000.0,48,48,119,51,2,50,offset,1.0,50.0,2.0,0.0,False,99.0,48.0,51.0
1,4,0,32,1920000.0,48,62,133,65,2,64,offset,1.0,64.0,2.0,0.0,False,113.0,48.0,65.0
1,5,1,32,1920000.0,48,92,163,158,65,157,offset,1.0,157.0,65.0,0.0,False,206.0,48.0,158.0
1,6,1,32,1920000.0,48,100,171,103,2,102,offset,1.0,102.0,2.0,0.0,False,151.0,48.0,103.0
1,7,1,32,1920000.0,48,123,194,126,2,125,offset,1.0,125.0,2.0,0.0,False,174.0,48.0,126.0
1,8,1,32,1920000.0,48,134,205,137,2,136,offset,1.0,136.0,2.0,0.0,False,185.0,48.0,137.0
1,9,1,32,1920000.0,48,150,221,153,2,152,offset,1.0,152.0,2.0,0.0,False,201.0,48.0,153.0
1,10,1,32,1920000.0,48,159,230,162,2,161,offset,1.0,161.0,2.0,0.0,False,210.0,48.0,162.0
1,11,1,32,1920000.0,48,174,245,177,2,176,offset,1.0,176.0,2.0,0.0,False,225.0,48.0,177.0
1,12,1,32,1920000.0,48,201,272,267,65,266,offset,1.0,266.0,65.0,0.0,False,315.0,48.0,267.0
1,13,1,32,1920000.0,48,221,292,275,53,274,offset,1.0,274.0,53.0,0.0,False,323.0,48.0,275.0
1,14,2,32,1920000.0,48,227,298,230,2,229,offset,1.0,229.0,2.0,0.0,False,278.0,48.0,230.0
1,15,0,32,1920000.0,48,241,312,295,53,294,offset,1.0,294.0,53.0,0.0,False,343.0,48.0,295.0
1,16,0,32,1920000.0,48,256,327,283,26,282,offset,1.0,282.0,26.0,0.0,False,331.0,48.0,283.0
1,17,1,32,1920000.0,48,273,344,327,53,326,offset,1.0,326.0,53.0,0.0,False,375.0,48.0,327.0
1,18,2,32,1920000.0,48,295,366,349,53,348,offset,1.0,348.0,53.0,0.0,False,397.0,48.0,349.0
1,19,1,32,1920000.0,48,307,378,366,58,365,offset,1.0,365.0,58.0,0.0,False,414.0,48.0,366.0
1,20,1,32,1920000.0,48,323,394,389,65,388,offset,1.0,388.0,65.0,0.0,False,437.0,48.0,389.0
1,21,0,32,1920000.0,48,335,406,389,53,388,offset,1.0,388.0,53.0,0.0,False,437.0,48.0,389.0
1,22,1,32,1920000.0,48,356,427,410,53,409,offset,1.0,409.0,53.0,0.0,False,458.0,48.0,410.0
1,23,1,32,1920000.0,48,373,444,376,2,375,offset,1.0,375.0,2.0,0.0,False,424.0,48.0,376.0
1,24,2,32,1920000.0,48,397,468,463,65,462,offset,1.0,462.0,65.0,0.0,False,511.0,48.0,463.0
1,25,0,32,1920000.0,48,402,473,405,2,404,offset,1.0,404.0,2.0,0.0,False,453.0,48.0,405.0
1,26,2,32,1920000.0,48,421,492,463,41,462,offset,1.0,462.0,41.0,0.0,False,511.0,48.0,463.0
1,27,1,32,1920000.0,48,445,516,499,53,498,offset,1.0,498.0,53.0,0.0,False,547.0,48.0,499.0
1,28,1,32,1920000.0,48,457,528,511,53,510,offset,1.0,510.0,53.0,0.0,False,559.0,48.0,511.0
1,29,1,32,1920000.0,48,473,544,476,2,475,offset,1.0,475.0,2.0,0.0,False,524.0,48.0,476.0
1,30,1,32,1920000.0,48,486,557,515,28,514,offset,1.0,514.0,28.0,0.0,False,563.0,48.0,515.0
1,31,1,32,1920000.0,48,504,575,507,2,506,offset,1.0,506.0,2.0,0.0,False,555.0,48.0,507.0
1,32,0,32,1920000.0,48,520,591,523,2,522,offset,1.0,522.0,2.0,0.0,False,571.0,48.0,523.0
1,33,1,32,1920000.0,48,527,598,530,2,529,offset,1.0,529.0,2.0,0.0,False,578.0,48.0,530.0
1,34,1,32,1920000.0,48,549,620,552,2,551,offset,1.0,551.0,2.0,0.0,False,600.0,48.0,552.0
