episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,kappa,t_release,reason,r_release,t_s,k,route_to_start_steps,stale,t_f,exec_s,t_s_exec
1,0,1,32,1920000.0,48,9,80,56,46,55,offset,1.0,55.0,46.0,0.0,False,104.0,48.0,56.0
1,1,1,32,1920000.0,48,29,100,34,4,33,offset,1.0,33.0,4.0,0.0,False,82.0,48.0,34.0
1,2,1,32,1920000.0,48,41,112,46,4,45,offset,1.0,45.0,4.0,0.0,False,94.0,48.0,46.0
1,3,1,32,1920000.0,48,48,119,53,4,52,offset,1.0,52.0,4.0,0.0,False,101.0,48.0,53.0
1,4,1,32,1920000.0,48,62,133,67,4,66,offset,1.0,66.0,4.0,0.0,False,115.0,48.0,67.0
1,5,1,32,1920000.0,48,92,163,98,5,97,offset,1.0,97.0,5.0,0.0,False,146.0,48.0,98.0
1,6,1,32,1920000.0,48,100,171,108,7,107,offset,1.0,107.0,7.0,0.0,False,156.0,48.0,108.0
1,7,1,32,1920000.0,48,123,194,126,2,125,offset,1.0,125.0,2.0,0.0,False,174.0,48.0,126.0
1,8,1,32,1920000.0,48,134,205,139,4,138,offset,1.0,138.0,4.0,0.0,False,187.0,48.0,139.0
1,9,1,32,1920000.0,48,150,221,156,5,155,offset,1.0,155.0,5.0,0.0,False,204.0,48.0,156.0
1,10,2,32,1920000.0,48,159,230,165,5,164,offset,1.0,164.0,5.0,0.0,False,213.0,48.0,165.0
1,11,1,32,1920000.0,48,174,245,221,46,220,offset,1.0,220.0,46.0,0.0,False,269.0,48.0,221.0
1,12,1,32,1920000.0,48,201,272,209,7,208,offset,1.0,208.0,7.0,0.0,False,257.0,48.0,209.0
1,13,1,32,1920000.0,48,221,292,268,46,267,offset,1.0,267.0,46.0,0.0,False,316.0,48.0,268.0
1,14,0,32,1920000.0,48,227,298,274,46,273,offset,1.0,273.0,46.0,0.0,False,322.0,48.0,274.0
1,15,1,32,1920000.0,48,241,312,246,4,245,offset,1.0,245.0,4.0,0.0,False,294.0,48.0,246.0
1,16,1,32,1920000.0,48,256,327,261,4,260,offset,1.0,260.0,4.0,0.0,False,309.0,48.0,261.0
1,17,0,32,1920000.0,48,273,344,281,7,280,offset,1.0,280.0,7.0,0.0,False,329.0,48.0,281.0
1,18,1,32,1920000.0,48,295,366,301,5,300,offset,1.0,300.0,5.0,0.0,False,349.0,48.0,301.0
1,19,0,32,1920000.0,48,307,378,313,5,312,offset,1.0,312.0,5.0,0.0,False,361.0,48.0,313.0
1,20,2,32,1920000.0,48,323,394,370,46,369,offset,1.0,369.0,46.0,0.0,False,418.0,48.0,370.0
1,21,2,32,1920000.0,48,335,406,382,46,381,offset,1.0,381.0,46.0,0.0,False,430.0,48.0,382.0
1,22,2,32,1920000.0,48,356,427,403,46,402,offset,1.0,402.0,46.0,0.0,False,451.0,48.0,403.0
1,23,1,32,1920000.0,48,373,444,420,46,419,offset,1.0,419.0,46.0,0.0,False,468.0,48.0,420.0
1,24,1,32,1920000.0,48,397,468,402,4,401,offset,1.0,401.0,4.0,0.0,False,450.0,48.0,402.0
1,25,1,32,1920000.0,48,402,473,407,4,406,offset,1.0,406.0,4.0,0.0,False,455.0,48.0,407.0
1,26,0,32,1920000.0,48,421,492,427,5,426,offset,1.0,426.0,5.0,0.0,False,475.0,48.0,427.0
1,27,2,32,1920000.0,48,445,516,453,7,452,offset,1.0,452.0,7.0,0.0,False,501.0,48.0,453.0
1,28,1,32,1920000.0,48,457,528,504,46,503,offset,1.0,503.0,46.0,0.0,False,552.0,48.0,504.0
1,29,0,32,1920000.0,48,473,544,520,46,519,offset,1.0,519.0,46.0,0.0,False,568.0,48.0,520.0
1,30,0,32,1920000.0,48,486,557,533,46,532,offset,1.0,532.0,46.0,0.0,False,581.0,48.0,533.0
1,31,0,32,1920000.0,48,504,575,510,5,509,offset,1.0,509.0,5.0,0.0,False,558.0,48.0,510.0
1,32,1,32,1920000.0,48,520,591,525,4,524,offset,1.0,524.0,4.0,0.0,False,573.0,48.0,525.0
1,33,0,32,1920000.0,48,527,598,532,4,531,offset,1.0,531.0,4.0,0.0,False,580.0,48.0,532.0
1,34,1,32,1920000.0,48,549,620,554,4,553,offset,1.0,553.0,4.0,0.0,False,602.0,48.0,554.0
