episode,id,dc,pes,mi,runtime_steps,t_c,latest,s_f,t_release,reason,r_release,t_s,k,route_to_start_steps,stale
1,3,0,32,1920000.0,48,48,119,119,101,green,1.0,101.0,53.0,0.0,False
1,4,0,32,1920000.0,48,62,133,133,105,green,1.0,105.0,43.0,0.0,False
1,6,0,32,1920000.0,48,100,171,171,106,green,1.0,106.0,6.0,0.0,False
1,7,0,32,1920000.0,48,123,194,194,135,green,1.0,135.0,12.0,0.0,False
1,8,0,32,1920000.0,48,134,205,205,136,green,1.0,136.0,2.0,0.0,False
1,9,0,32,1920000.0,48,150,221,221,151,green,1.0,151.0,1.0,0.0,False
1,10,0,32,1920000.0,48,159,230,230,160,green,1.0,160.0,1.0,0.0,False
1,11,0,32,1920000.0,48,174,245,245,175,green,1.0,175.0,1.0,0.0,False
1,12,0,32,1920000.0,48,201,272,272,202,green,1.0,202.0,1.0,0.0,False
1,13,0,32,1920000.0,48,221,292,292,222,green,1.0,222.0,1.0,0.0,False
1,14,0,32,1920000.0,48,227,298,298,228,green,1.0,228.0,1.0,0.0,False
1,15,0,32,1920000.0,48,241,312,312,242,green,1.0,242.0,1.0,0.0,False
1,16,0,32,1920000.0,48,256,327,327,257,green,1.0,257.0,1.0,0.0,False
1,17,0,32,1920000.0,48,273,344,344,289,green,1.0,289.0,16.0,0.0,False
1,18,0,32,1920000.0,48,295,366,366,296,green,1.0,296.0,1.0,0.0,False
1,19,0,32,1920000.0,48,307,378,378,308,green,1.0,308.0,1.0,0.0,False
1,20,0,32,1920000.0,48,323,394,394,344,green,1.0,344.0,21.0,0.0,False
1,21,0,32,1920000.0,48,335,406,406,350,green,1.0,350.0,15.0,0.0,False
1,22,0,32,1920000.0,48,356,427,427,358,green,1.0,358.0,2.0,0.0,False
1,23,0,32,1920000.0,48,373,444,444,379,green,1.0,379.0,6.0,0.0,False
1,24,0,32,1920000.0,48,397,468,468,398,green,1.0,398.0,1.0,0.0,False
1,25,0,32,1920000.0,48,402,473,473,403,green,1.0,403.0,1.0,0.0,False
1,26,0,32,1920000.0,48,421,492,492,422,green,1.0,422.0,1.0,0.0,False
1,27,0,32,1920000.0,48,445,516,516,446,green,1.0,446.0,1.0,0.0,False
1,28,0,32,1920000.0,48,457,528,528,458,green,1.0,458.0,1.0,0.0,False
1,29,0,32,1920000.0,48,473,544,544,474,green,1.0,474.0,1.0,0.0,False
1,30,0,32,1920000.0,48,486,557,557,487,green,1.0,487.0,1.0,0.0,False
1,31,0,32,1920000.0,48,504,575,575,505,green,1.0,505.0,1.0,0.0,False
1,32,0,32,1920000.0,48,520,591,591,521,green,1.0,521.0,1.0,0.0,False
1,33,0,32,1920000.0,48,527,598,598,528,green,1.0,528.0,1.0,0.0,False
1,34,0,32,1920000.0,48,549,620,620,550,green,1.0,550.0,1.0,0.0,False
